k,t_wall(s),T(s),J(s)
0,10045.780260946,0.050000787,0.000000787
1,10045.830260561,0.049999615,-0.000000385
2,10045.880260192,0.049999631,-0.000000369
3,10045.930287889,0.050027697,0.000027697
4,10045.980329547,0.050041658,0.000041658
5,10046.030295996,0.049966449,-0.000033551
6,10046.080301393,0.050005397,0.000005397
7,10046.130305451,0.050004058,0.000004058
8,10046.180270562,0.049965111,-0.000034889
9,10046.230308874,0.050038312,0.000038312
10,10046.280310544,0.050001670,0.000001670
11,10046.330306690,0.049996146,-0.000003854
12,10046.380274522,0.049967832,-0.000032168
13,10046.430306330,0.050031808,0.000031808
14,10046.480311426,0.050005096,0.000005096
15,10046.530326157,0.050014731,0.000014731
16,10046.580275499,0.049949342,-0.000050658
17,10046.630268309,0.049992810,-0.000007190
18,10046.680277108,0.050008799,0.000008799
19,10046.730277218,0.050000110,0.000000110
20,10046.780304895,0.050027677,0.000027677
21,10046.830310897,0.050006002,0.000006002
22,10046.880263581,0.049952684,-0.000047316
23,10046.930263043,0.049999462,-0.000000538
24,10046.980299335,0.050036292,0.000036292
25,10047.030294712,0.049995377,-0.000004623
26,10047.080293705,0.049998993,-0.000001007
27,10047.130293602,0.049999897,-0.000000103
28,10047.180294241,0.050000639,0.000000639
29,10047.230293904,0.049999663,-0.000000337
30,10047.280294681,0.050000777,0.000000777
31,10047.330294113,0.049999432,-0.000000568
32,10047.380297014,0.050002901,0.000002901
33,10047.430294684,0.049997670,-0.000002330
34,10047.480307099,0.050012415,0.000012415
35,10047.530303719,0.049996620,-0.000003380
36,10047.580316836,0.050013117,0.000013117
37,10047.630311617,0.049994781,-0.000005219
38,10047.680308865,0.049997248,-0.000002752
39,10047.730304037,0.049995172,-0.000004828
40,10047.780304396,0.050000359,0.000000359
41,10047.830303688,0.049999292,-0.000000708
42,10047.880310074,0.050006386,0.000006386
43,10047.930321537,0.050011463,0.000011463
44,10047.980309340,0.049987803,-0.000012197
45,10048.030327696,0.050018356,0.000018356
46,10048.080316732,0.049989036,-0.000010964
47,10048.130325334,0.050008602,0.000008602
48,10048.180315303,0.049989969,-0.000010031
49,10048.230315919,0.050000616,0.000000616
50,10048.280316284,0.050000365,0.000000365
51,10048.330306301,0.049990017,-0.000009983
52,10048.380319487,0.050013186,0.000013186
53,10048.430314425,0.049994938,-0.000005062
54,10048.480327694,0.050013269,0.000013269
55,10048.530314059,0.049986365,-0.000013635
56,10048.580260102,0.049946043,-0.000053957
57,10048.630286732,0.050026630,0.000026630
58,10048.680292623,0.050005891,0.000005891
59,10048.730320762,0.050028139,0.000028139
60,10048.780275685,0.049954923,-0.000045077
61,10048.830306475,0.050030790,0.000030790
62,10048.880329631,0.050023156,0.000023156
63,10048.930321753,0.049992122,-0.000007878
64,10048.980313309,0.049991556,-0.000008444
65,10049.030316204,0.050002895,0.000002895
66,10049.080304768,0.049988564,-0.000011436
67,10049.130303669,0.049998901,-0.000001099
68,10049.180314828,0.050011159,0.000011159
69,10049.230329302,0.050014474,0.000014474
70,10049.280331083,0.050001781,0.000001781
71,10049.330321861,0.049990778,-0.000009222
72,10049.380322467,0.050000606,0.000000606
73,10049.430323704,0.050001237,0.000001237
74,10049.480329271,0.050005567,0.000005567
75,10049.530317722,0.049988451,-0.000011549
76,10049.580320350,0.050002628,0.000002628
77,10049.630275693,0.049955343,-0.000044657
78,10049.680313185,0.050037492,0.000037492
79,10049.730326021,0.050012836,0.000012836
80,10049.780327422,0.050001401,0.000001401
81,10049.830313650,0.049986228,-0.000013772
82,10049.880305968,0.049992318,-0.000007682
83,10049.930305352,0.049999384,-0.000000616
84,10049.980313135,0.050007783,0.000007783
85,10050.030307444,0.049994309,-0.000005691
86,10050.080309118,0.050001674,0.000001674
87,10050.130328634,0.050019516,0.000019516
88,10050.180329032,0.050000398,0.000000398
89,10050.230333252,0.050004220,0.000004220
90,10050.280317830,0.049984578,-0.000015422
91,10050.330307177,0.049989347,-0.000010653
92,10050.380305417,0.049998240,-0.000001760
93,10050.430303593,0.049998176,-0.000001824
94,10050.480303848,0.050000255,0.000000255
95,10050.530317721,0.050013873,0.000013873
96,10050.580320508,0.050002787,0.000002787
97,10050.630308987,0.049988479,-0.000011521
98,10050.680320395,0.050011408,0.000011408
99,10050.730312519,0.049992124,-0.000007876
100,10050.780323595,0.050011076,0.000011076
101,10050.830318365,0.049994770,-0.000005230
102,10050.880319104,0.050000739,0.000000739
103,10050.930324850,0.050005746,0.000005746
104,10050.980323546,0.049998696,-0.000001304
105,10051.030323224,0.049999678,-0.000000322
106,10051.080322001,0.049998777,-0.000001223
107,10051.130326188,0.050004187,0.000004187
108,10051.180316177,0.049989989,-0.000010011
109,10051.230316318,0.050000141,0.000000141
110,10051.280304202,0.049987884,-0.000012116
111,10051.330314428,0.050010226,0.000010226
112,10051.380315978,0.050001550,0.000001550
113,10051.430315982,0.050000004,0.000000004
114,10051.480316585,0.050000603,0.000000603
115,10051.530322427,0.050005842,0.000005842
116,10051.580318783,0.049996356,-0.000003644
117,10051.630317523,0.049998740,-0.000001260
118,10051.680317582,0.050000059,0.000000059
119,10051.730324111,0.050006529,0.000006529
120,10051.780320238,0.049996127,-0.000003873
121,10051.830316004,0.049995766,-0.000004234
122,10051.880259659,0.049943655,-0.000056345
123,10051.930263730,0.050004071,0.000004071
124,10051.980328390,0.050064660,0.000064660
125,10052.030264857,0.049936467,-0.000063533
126,10052.080320111,0.050055254,0.000055254
127,10052.130313266,0.049993155,-0.000006845
128,10052.180315927,0.050002661,0.000002661
129,10052.230305860,0.049989933,-0.000010067
130,10052.280315492,0.050009632,0.000009632
131,10052.330297204,0.049981712,-0.000018288
132,10052.380307333,0.050010129,0.000010129
133,10052.430305810,0.049998477,-0.000001523
134,10052.480316759,0.050010949,0.000010949
135,10052.530319311,0.050002552,0.000002552
136,10052.580305745,0.049986434,-0.000013566
137,10052.630315177,0.050009432,0.000009432
138,10052.680321927,0.050006750,0.000006750
139,10052.730329731,0.050007804,0.000007804
140,10052.780327936,0.049998205,-0.000001795
141,10052.830321512,0.049993576,-0.000006424
142,10052.880321573,0.050000061,0.000000061
143,10052.930318348,0.049996775,-0.000003225
144,10052.980312967,0.049994619,-0.000005381
145,10053.030305711,0.049992744,-0.000007256
146,10053.080305590,0.049999879,-0.000000121
147,10053.130305567,0.049999977,-0.000000023
148,10053.180307549,0.050001982,0.000001982
149,10053.230309678,0.050002129,0.000002129
150,10053.280305623,0.049995945,-0.000004055
151,10053.330306524,0.050000901,0.000000901
152,10053.380305482,0.049998958,-0.000001042
153,10053.430300096,0.049994614,-0.000005386
154,10053.480271301,0.049971205,-0.000028795
155,10053.530409331,0.050138030,0.000138030
156,10053.580301749,0.049892418,-0.000107582
157,10053.630302054,0.050000305,0.000000305
158,10053.680315872,0.050013818,0.000013818
159,10053.730319226,0.050003354,0.000003354
160,10053.780318862,0.049999636,-0.000000364
161,10053.830319207,0.050000345,0.000000345
162,10053.880339269,0.050020062,0.000020062
163,10053.930305125,0.049965856,-0.000034144
164,10053.980317233,0.050012108,0.000012108
165,10054.030307607,0.049990374,-0.000009626
166,10054.080305940,0.049998333,-0.000001667
167,10054.130308441,0.050002501,0.000002501
168,10054.180305736,0.049997295,-0.000002705
169,10054.230305506,0.049999770,-0.000000230
170,10054.280306255,0.050000749,0.000000749
171,10054.330307657,0.050001402,0.000001402
172,10054.380318762,0.050011105,0.000011105
173,10054.430307255,0.049988493,-0.000011507
174,10054.480319145,0.050011890,0.000011890
175,10054.530317947,0.049998802,-0.000001198
176,10054.580272463,0.049954516,-0.000045484
177,10054.630328411,0.050055948,0.000055948
178,10054.680308382,0.049979971,-0.000020029
179,10054.730324058,0.050015676,0.000015676
180,10054.780309745,0.049985687,-0.000014313
181,10054.830329071,0.050019326,0.000019326
182,10054.880314415,0.049985344,-0.000014656
183,10054.930325710,0.050011295,0.000011295
184,10054.980311355,0.049985645,-0.000014355
185,10055.030306917,0.049995562,-0.000004438
186,10055.080310508,0.050003591,0.000003591
187,10055.130324795,0.050014287,0.000014287
188,10055.180313141,0.049988346,-0.000011654
189,10055.230319340,0.050006199,0.000006199
190,10055.280305367,0.049986027,-0.000013973
191,10055.330310510,0.050005143,0.000005143
192,10055.380270011,0.049959501,-0.000040499
193,10055.430318111,0.050048100,0.000048100
194,10055.480306423,0.049988312,-0.000011688
195,10055.530317255,0.050010832,0.000010832
196,10055.580304150,0.049986895,-0.000013105
197,10055.630315838,0.050011688,0.000011688
198,10055.680305450,0.049989612,-0.000010388
199,10055.730306143,0.050000693,0.000000693
200,10055.780303889,0.049997746,-0.000002254
201,10055.830316149,0.050012260,0.000012260
202,10055.880312065,0.049995916,-0.000004084
203,10055.930325173,0.050013108,0.000013108
204,10055.980312053,0.049986880,-0.000013120
205,10056.030325546,0.050013493,0.000013493
206,10056.080306579,0.049981033,-0.000018967
207,10056.130319004,0.050012425,0.000012425
208,10056.180312698,0.049993694,-0.000006306
209,10056.230314257,0.050001559,0.000001559
210,10056.280308407,0.049994150,-0.000005850
211,10056.330310073,0.050001666,0.000001666
212,10056.380314583,0.050004510,0.000004510
213,10056.430320109,0.050005526,0.000005526
214,10056.480309490,0.049989381,-0.000010619
215,10056.530319808,0.050010318,0.000010318
216,10056.580306144,0.049986336,-0.000013664
217,10056.630324488,0.050018344,0.000018344
218,10056.680306473,0.049981985,-0.000018015
219,10056.730304918,0.049998445,-0.000001555
220,10056.780304044,0.049999126,-0.000000874
221,10056.830304077,0.050000033,0.000000033
222,10056.880305158,0.050001081,0.000001081
223,10056.930303895,0.049998737,-0.000001263
224,10056.980304648,0.050000753,0.000000753
225,10057.030316699,0.050012051,0.000012051
226,10057.080304563,0.049987864,-0.000012136
227,10057.130318204,0.050013641,0.000013641
228,10057.180306329,0.049988125,-0.000011875
