k,t_wall(s),T(s),J(s)
0,9962.208149341,0.049945532,-0.000054468
1,9962.258173090,0.050023749,0.000023749
2,9962.308171511,0.049998421,-0.000001579
3,9962.358172532,0.050001021,0.000001021
4,9962.408170586,0.049998054,-0.000001946
5,9962.458149930,0.049979344,-0.000020656
6,9962.508145822,0.049995892,-0.000004108
7,9962.558229082,0.050083260,0.000083260
8,9962.608165299,0.049936217,-0.000063783
9,9962.658168763,0.050003464,0.000003464
10,9962.708205225,0.050036462,0.000036462
11,9962.758173664,0.049968439,-0.000031561
12,9962.808164629,0.049990965,-0.000009035
13,9962.858220232,0.050055603,0.000055603
14,9962.908200839,0.049980607,-0.000019393
15,9962.958146590,0.049945751,-0.000054249
16,9963.008168520,0.050021930,0.000021930
17,9963.058173183,0.050004663,0.000004663
18,9963.108215033,0.050041850,0.000041850
19,9963.158173485,0.049958452,-0.000041548
20,9963.208173053,0.049999568,-0.000000432
21,9963.258173754,0.050000701,0.000000701
22,9963.308173255,0.049999501,-0.000000499
23,9963.358173246,0.049999991,-0.000000009
24,9963.408173157,0.049999911,-0.000000089
25,9963.458173658,0.050000501,0.000000501
26,9963.508172575,0.049998917,-0.000001083
27,9963.558176892,0.050004317,0.000004317
28,9963.608215846,0.050038954,0.000038954
29,9963.658209771,0.049993925,-0.000006075
30,9963.708215640,0.050005869,0.000005869
31,9963.758213458,0.049997818,-0.000002182
32,9963.808215418,0.050001960,0.000001960
33,9963.858171810,0.049956392,-0.000043608
34,9963.908211186,0.050039376,0.000039376
35,9963.958152146,0.049940960,-0.000059040
36,9964.008170631,0.050018485,0.000018485
37,9964.058172509,0.050001878,0.000001878
38,9964.108173410,0.050000901,0.000000901
39,9964.158170914,0.049997504,-0.000002496
40,9964.208165309,0.049994395,-0.000005605
41,9964.258211721,0.050046412,0.000046412
42,9964.308212449,0.050000728,0.000000728
43,9964.358166134,0.049953685,-0.000046315
44,9964.408170282,0.050004148,0.000004148
45,9964.458163421,0.049993139,-0.000006861
46,9964.508225574,0.050062153,0.000062153
47,9964.558173513,0.049947939,-0.000052061
48,9964.608201503,0.050027990,0.000027990
49,9964.658211659,0.050010156,0.000010156
50,9964.708262750,0.050051091,0.000051091
51,9964.758212547,0.049949797,-0.000050203
52,9964.808222726,0.050010179,0.000010179
53,9964.858227144,0.050004418,0.000004418
54,9964.908174703,0.049947559,-0.000052441
55,9964.958165909,0.049991206,-0.000008794
56,9965.008173232,0.050007323,0.000007323
57,9965.058265682,0.050092450,0.000092450
58,9965.108172642,0.049906960,-0.000093040
59,9965.158180448,0.050007806,0.000007806
60,9965.208203349,0.050022901,0.000022901
61,9965.258213808,0.050010459,0.000010459
62,9965.308172544,0.049958736,-0.000041264
63,9965.358173112,0.050000568,0.000000568
64,9965.408175290,0.050002178,0.000002178
65,9965.458210414,0.050035124,0.000035124
66,9965.508212766,0.050002352,0.000002352
67,9965.558212565,0.049999799,-0.000000201
68,9965.608173119,0.049960554,-0.000039446
69,9965.658176956,0.050003837,0.000003837
70,9965.708167875,0.049990919,-0.000009081
71,9965.758175998,0.050008123,0.000008123
72,9965.808208692,0.050032694,0.000032694
73,9965.858177444,0.049968752,-0.000031248
74,9965.908154526,0.049977082,-0.000022918
75,9965.958237379,0.050082853,0.000082853
76,9966.008169244,0.049931865,-0.000068135
77,9966.058177843,0.050008599,0.000008599
78,9966.108173722,0.049995879,-0.000004121
79,9966.158217089,0.050043367,0.000043367
80,9966.208213950,0.049996861,-0.000003139
81,9966.258218786,0.050004836,0.000004836
82,9966.308207174,0.049988388,-0.000011612
83,9966.358215337,0.050008163,0.000008163
84,9966.408122320,0.049906983,-0.000093017
85,9966.458208023,0.050085703,0.000085703
86,9966.508208029,0.050000006,0.000000006
87,9966.558206872,0.049998843,-0.000001157
88,9966.608205142,0.049998270,-0.000001730
89,9966.658208026,0.050002884,0.000002884
90,9966.708204997,0.049996971,-0.000003029
