t(s)	v(m/s)	w(rad/s)	yx(m)	yy(m)
0.050000	1.000000	0.628319	0.150711	0.054703
0.100000	1.000000	0.628319	0.152845	0.109353
0.150000	1.000000	0.628319	0.156398	0.163894
0.200000	1.000000	0.628319	0.161367	0.218274
0.250000	1.000000	0.628319	0.167748	0.272438
0.300000	1.000000	0.628319	0.175534	0.326334
0.350000	1.000000	0.628319	0.184717	0.379907
0.400000	1.000000	0.628319	0.195289	0.433106
0.450000	1.000000	0.628319	0.207239	0.485877
0.500000	1.000000	0.628319	0.220554	0.538168
0.550000	1.000000	0.628319	0.235223	0.589929
0.600000	1.000000	0.628319	0.251231	0.641107
0.650000	1.000000	0.628319	0.268561	0.691653
0.700000	1.000000	0.628319	0.287197	0.741516
0.750000	1.000000	0.628319	0.307119	0.790647
0.800000	1.000000	0.628319	0.328310	0.838998
0.850000	1.000000	0.628319	0.350747	0.886521
0.900000	1.000000	0.628319	0.374409	0.933169
0.950000	1.000000	0.628319	0.399272	0.978896
1.000000	1.000000	0.628319	0.425311	1.023657
1.050000	1.000000	0.628319	0.452502	1.067408
1.100000	1.000000	0.628319	0.480817	1.110105
1.150000	1.000000	0.628319	0.510227	1.151707
1.200000	1.000000	0.628319	0.540705	1.192173
1.250000	1.000000	0.628319	0.572220	1.231461
1.300000	1.000000	0.628319	0.604741	1.269535
1.350000	1.000000	0.628319	0.638236	1.306356
1.400000	1.000000	0.628319	0.672671	1.341887
1.450000	1.000000	0.628319	0.708014	1.376094
1.500000	1.000000	0.628319	0.744228	1.408943
1.550000	1.000000	0.628319	0.781278	1.440402
1.600000	1.000000	0.628319	0.819129	1.470439
1.650000	1.000000	0.628319	0.857741	1.499025
1.700000	1.000000	0.628319	0.897078	1.526131
1.750000	1.000000	0.628319	0.937100	1.551732
1.800000	1.000000	0.628319	0.977768	1.575801
1.850000	1.000000	0.628319	1.019041	1.598315
1.900000	1.000000	0.628319	1.060880	1.619252
1.950000	1.000000	0.628319	1.103242	1.638590
2.000000	1.000000	0.628319	1.146086	1.656312
2.050000	1.000000	0.628319	1.189370	1.672399
2.100000	1.000000	0.628319	1.233051	1.686835
2.150000	1.000000	0.628319	1.277085	1.699607
2.200000	1.000000	0.628319	1.321430	1.710702
2.250000	1.000000	0.628319	1.366041	1.720108
2.300000	1.000000	0.628319	1.410875	1.727817
2.350000	1.000000	0.628319	1.455888	1.733820
2.400000	1.000000	0.628319	1.501034	1.738113
2.450000	1.000000	0.628319	1.546269	1.740690
2.500000	1.000000	0.628319	1.591549	1.741549
2.550000	1.000000	0.628319	1.636830	1.740690
2.600000	1.000000	0.628319	1.682065	1.738113
2.650000	1.000000	0.628319	1.727211	1.733820
2.700000	1.000000	0.628319	1.772223	1.727817
2.750000	1.000000	0.628319	1.817057	1.720108
2.800000	1.000000	0.628319	1.861669	1.710702
2.850000	1.000000	0.628319	1.906014	1.699607
2.900000	1.000000	0.628319	1.950048	1.686835
2.950000	1.000000	0.628319	1.993729	1.672399
3.000000	1.000000	0.628319	2.037013	1.656312
3.050000	1.000000	0.628319	2.079857	1.638590
3.100000	1.000000	0.628319	2.122219	1.619252
3.150000	1.000000	0.628319	2.164058	1.598315
3.200000	1.000000	0.628319	2.205331	1.575801
3.250000	1.000000	0.628319	2.245999	1.551732
3.300000	1.000000	0.628319	2.286021	1.526131
3.350000	1.000000	0.628319	2.325358	1.499025
